Keyword,Search Volume,CPC,Competition,Number of Results,Trends,Keyword Difficulty,,,,,,,,,,,
mutual funds,49500,13.39,0.96,48800000,0.67,0.82,0.82,0.82,0.99,0.99,0.99,0.99,0.82,0.82,0.99,0.82,88.94
investing,14800,10.57,0.84,203000000,0.99,0.82,0.82,0.82,0.99,0.99,0.82,0.99,0.82,0.82,0.82,0.82,86.3
invest,8100,13.14,0.9,287000000,0.82,0.82,0.82,0.99,0.99,0.99,0.99,0.99,0.82,0.82,0.82,0.82,79.39
investment,14800,10.79,0.92,874000000,0.82,0.82,0.82,0.99,0.99,0.99,0.99,0.99,0.82,0.82,0.82,0.82,86.78
best short term investments,1600,5.95,0.88,164000000,0.84,0.84,0.68,0.84,0.84,0.99,0.84,0.99,0.68,0.68,0.84,0.68,81.88
high yield etf,720,14.02,0.84,1860000,0.99,0.88,0.72,0.88,0.88,0.72,0.88,0.88,0.59,0.59,0.72,0.59,78.64
best investment return,20,7.65,0.89,4830000,0.67,0.99,0.67,0.67,0.99,0.67,0.67,0.67,0.33,0.99,0.67,0.99,82.88
best short term investment,170,6.31,0.81,99400000,0.81,0.99,0.81,0.81,0.81,0.81,0.99,0.99,0.67,0.67,0.81,0.81,83.09
fixed income investments,880,13.41,0.96,18700000,0.99,0.99,0.88,0.88,0.88,0.99,0.88,0.99,0.72,0.88,0.99,0.99,84.89
high yeild investments,30,25.51,0.98,9410000,0.5,0.99,0.75,0.5,0.75,0.99,0.75,0.75,0.75,0.75,0.99,0.75,85.83
high yield bond,480,15.85,0.63,43600000,0.99,0.99,0.81,0.81,0.81,0.81,0.81,0.81,0.66,0.66,0.66,0.54,83.54
high yield fixed income,50,6.48,0.96,8550000,0.71,0.99,0.71,0.99,0.71,0.71,0.99,0.99,0.71,0.56,0.99,0.71,80.47
high yield fund,90,9.9,0.73,18600000,0.82,0.99,0.99,0.64,0.64,0.64,0.82,0.82,0.64,0.64,0.64,0.64,79.14
high yield mutual funds,480,19.55,0.94,18600000,0.81,0.99,0.81,0.81,0.99,0.81,0.99,0.99,0.66,0.66,0.81,0.66,84.93
high yield notes,40,3.64,0.79,4940000,0.99,0.99,0.4,0.8,0.99,0.8,0.8,0.8,0.6,0.4,0.99,0.8,64.07
investment scam,50,0,0.25,16400000,0.71,0.99,0.99,0.71,0.99,0.99,0.71,0.71,0.99,0.99,0.56,0.56,83.83
safe investments with high returns,50,7.85,0.96,2180000,0.64,0.99,0.45,0.36,0.36,0.36,0.45,0.64,0.27,0.27,0.36,0.45,83.21
investment fund,480,12.1,0.81,38700000,0.99,0.99,0.81,0.81,0.99,0.99,0.81,0.99,0.81,0.81,0.99,0.81,68.57
make money,12100,2.62,0.23,567000000,0.82,0.99,0.82,0.99,0.82,0.82,0.82,0.99,0.99,0.99,0.82,0.82,84.48
